x,y,z,shadow
2887199.1094753,-2422647.7078961,5382648.08302297,0
3087360.1055921,-2161792.81910352,5382648.08302297,0
3264024.42710634,-1884485.38163136,5382648.08302297,0
3415847.55185847,-1592835.87252161,5382648.08302297,0
3541674.01419581,-1289063.92064137,5382648.08302297,0
3640546.19876389,-975481.413966977,5382648.08302297,0
3711711.62853747,-654474.904720512,5382648.08302297,0
4207684.71121976,368124.711923081,5033678.0357348,0
4159589.0178674,733447.772508648,5033678.0357348,0
4079836.34046055,1093188.85267755,5033678.0357348,0
3969033.64503026,1444610.1055921,5033678.0357348,0
3828024.20699325,1785037.00332367,5033678.0357348,0
3657881.1933168,2111878.69162512,5033678.0357348,0
3459899.49507016,2422647.7078961,5033678.0357348,0
3235585.87252161,2714978.9122753,5033678.0357348,0
2986647.487783,2986647.487783,5033678.0357348,0
2714978.9122753,3235585.87252161,5033678.0357348,0
2422647.7078961,3459899.49507016,5033678.0357348,0
2111878.69162513,3657881.1933168,5033678.0357348,0
1785037.00332367,3828024.20699325,5033678.0357348,0.14652139156682
1444610.1055921,3969033.64503026,5033678.0357348,0.825292669803536
1093188.85267755,4079836.34046055,5033678.0357348,1
733447.772508648,4159589.0178674,5033678.0357348,1
368124.711923081,4207684.71121976,5033678.0357348,1
2.58630547988621e-10,4223757.38325025,5033678.0357348,1
-368124.71192308,4207684.71121976,5033678.0357348,1
-733447.772508648,4159589.0178674,5033678.0357348,1
-1093188.85267755,4079836.34046055,5033678.0357348,1
-1444610.1055921,3969033.64503026,5033678.0357348,1
-1785037.00332367,3828024.20699325,5033678.0357348,1
-2111878.69162512,3657881.1933168,5033678.0357348,1
-2422647.7078961,3459899.49507017,5033678.0357348,1
-2714978.9122753,3235585.87252161,5033678.0357348,1
-2986647.487783,2986647.487783,5033678.0357348,1
-3235585.87252161,2714978.9122753,5033678.0357348,1
-3459899.49507016,2422647.7078961,5033678.0357348,1
-3657881.1933168,2111878.69162512,5033678.0357348,1
-3828024.20699325,1785037.00332367,5033678.0357348,1
-3969033.64503026,1444610.1055921,5033678.0357348,1
-4079836.34046055,1093188.85267755,5033678.0357348,1
